"Software Engineer, Simulation and Visualization",Developer - Big Data,Data Scientist x2,Data Scientist x2,Data Scientist x2,Intermediate Data Scientist,Python Developer,Senior Data Scientist / Mathematician (Machine Learning/Python),Data Scientist x2,Python Developer,Data Scientist,Data Engineer,Lead Programmer (Python),Senior Software Engineer (Python),Senior Software Engineer - Python,Data Engineer,Senior Software Engineer / Lead Developer (Python),Senior Software Engineer-TAURANGA,Data Engineer,Graduate data scientist,"Software Engineer, Simulation and Visualization",Data Engineer
1d ago,1d ago,1d ago,2d ago,18d ago,8d ago,1d ago,25d ago,5d ago,2d ago,12d ago,13d ago,5d ago,3d ago,13d ago,1d ago,5d ago,18d ago,7d ago,9d ago
Business Intelligence Analyst - Auckland,Product Insights Analyst,Solution Architect (Application Architecture),Security Engineer,Enterprise Application Support Analyst,Junior Transportation Engineer,Senior Automation Tester - Selenium/Postman,Senior F5 Load Balancer / Security Engineer  - CONTRACT -  $100hr,Hydraulic Modeller,Solutions Architect - Esri,Senior Data Analyst - SAS,Junior Propulsion Engineer,Senior Analyst,IT Support Engineer,Graduate Hydrogeologist - Auckland,Network Engineer,Test Engineer - Quality and Product Verification,Senior Automation Test Engineer,Senior Automation Test Engineer,Senior Embedded / Automation Test Engineer
4d ago,3d ago,5d ago,17d ago,5d ago,19d ago,17d ago,16d ago,11d ago,20h ago,29d ago,3d ago,16d ago,24d ago,12d ago,25d ago,10d ago,24d ago,24d ago,24d ago
Research Scientist - Numerical Modeller,Senior Full Stack Developer,Senior Site Reliability Engineer,Senior Level Full Stack Software/Web Engineer,Senior Software Developer,Senior Data Analyst (DA),Senior Backend Developer to join growing SaaS company: Get in quick,Solution Engineer - Global Cloud Vendor,Full Stack Developer,Intermediate Software Developers,Full Stack Developer - Support team,Senior Agile Full Stack Developer,Integration Developer,Senior Test Automation Engineer,Employee Lifecycle and Automation Team Leader,Senior Software Developer,Senior Full-Stack Web Developer,GIS Specialist,Remote - High Paying Contract - C# Angular Software Developer,Embedded C/C++ Developer - Payments & Technology
24d ago,18d ago,25d ago,24d ago,25d ago,21d ago,18d ago,26d ago,24d ago,29d ago,24d ago,29d ago,19d ago,24d ago,22d ago,25d ago,30d ago,24d ago,24d ago,29d ago
Systems Engineer | Solutioning | Pega Practice,Senior Ruby Developer,Contract C++ Developer,Full-stack Developer - JavaScript,Integration Engineer (IT),Data Scientist - Coastal and Freshwater Group,Operations Engineer - Linux,Magento Full Stack Web Developer,Geospatial Developer,Full-Stack Developer (NZ Career Grant Scheme),Full Stack Software Developer,Lead Developer,Implementation Specialist,Back-End Developer,Intermediate Full Stack Developer,Senior & Mid-Level Analysts / Wellington / Permanent,Full Stack Developer,Senior Systems Engineer,Senior Backend Developer,Senior Infrastructure engineer
5d ago,21h ago,11d ago,2d ago,21h ago,29d ago,22d ago,3d ago,10d ago,17d ago,19d ago,17d ago,1d ago,19d ago,17d ago,4d ago,8d ago,12d ago,23d ago,10d ago
Data Analyst,Data Engineer,Senior Automation Engineer,Data Analyst DWBI,General Manager - Data Applications Engineering,Intermediate Insights Analyst,Developer,Linux System Engineer,Senior Ruby Developer,Senior Backend Developer,Data Lead/Architect,Senior Software Developer,Devops Engineer,JAVA Software Engineer - Integration,Senior Full Stack Developer,Senior Analyst Programmer,IE PAY-- Full Stack Developer,DevOps Engineer,Data Modeller - Senior Consultant - Kimball Expert | Auckland,Full Stack Developer
22d ago,16d ago,19d ago,22d ago,17d ago,16d ago,25d ago,22d ago,19d ago,24d ago,29d ago,22d ago,22d ago,19d ago,22d ago,23d ago,17d ago,29d ago,25d ago,29d ago
Programmer (Game Development),Database Engineer-Developer,Senior Data Analyst - Tauranga,RPA Developer,Senior Full Stack Developer - Tauranga Based,General Manager - Data Applications Engineering,Software Testing and Automation Lead,Cloud Engineer,.NET Software Engineer,Unix Systems Engineer,Lead Developer,Senior Analyst,Senior Automation Engineer,C++ Developer,Data Analyst - 12 month fixed term contract,IT Systems Developer,Full Stack Developer,Senior Software Developer - Embedded C++,Senior Messaging Consultant,PowerBuilder Developer
